Station	Day	Month	Year	Lat	Long	Gear	Start.Depth	End.Depth	Family	Genus	Species	M.F	Life.Stage	Time.of.Day.	Parent.Jar	Expedition
785639	4	3	1972	29.8717	-22.9383	RMT8	25	10	Eupausiidae	Euphasuia	Euphausia brevis	F	Adult	Night	No	Late_Discovery
828124	16	3	1973	31.8383	-63.7467	RMT1	0	10	Eupausiidae	NA	NA	NA	NA	Day	Yes	Late_Discovery
747802	6	11	1970	40.0317	-19.9317	RMT8	700	605	Eupausiidae	Hansarsia	Hansarsia megalops	M	Adult	NA	No	Late_Discovery
785606	31	3	1972	29.9667	-23.0167	RMT1	1000	900	Eupausiidae	NA	NA	NA	NA	NA	Yes	Late_Discovery
828122	16	3	1973	31.9433	-63.815	RMT8	200	103	Eupausiidae	NA	NA	NA	NA	Day	No	Late_Discovery
708928	17	11	1969	17.6583	-25.3267	RMT8	25	10	Eupausiidae	NA	NA	NA	NA	NA	No	Late_Discovery
666213	16	2	1968	10.9283	-19.8833	TMT85	600	505	NA	NA	NA	NA	NA	Night	No	Late_Discovery
740613	3	10	1970	39.89	-20.3017	RMT8	50	30	Eupausiidae	Euphasuia	Euphausia krohnii	M	Adult	NA	No	Late_Discovery
828116	15	3	1973	32.0733	-63.695	RMT8	200	102	Eupausiidae	Thysanopoda	Thysanopoda aequalis	F	Adult	Night	No	Late_Discovery
666237	21	2	1968	10.5817	-19.7283	TMT85	1300	1060	NA	NA	NA	NA	NA	Day	No	Late_Discovery
740629	5	10	1970	40.01	-20.015	RMT1	900	805	NA	NA	NA	NA	NA	Day	Yes	Late_Discovery
747802	6	11	1970	40.0317	-19.9317	RMT8	700	605	Eupausiidae	Nematobrachion	Nematobrachion boopis	F	Adult	NA	No	Late_Discovery
666226	18	2	1968	10.8217	-19.9233	TMT85	800	710	Eupausiidae	NA	NA	NA	NA	NA	No	Late_Discovery
669510	14	3	1968	NA	NA	TMT85	400	300	Eupausiidae	NA	NA	NA	NA	NA	No	Late_Discovery
740614	3	10	1970	39.9483	-20.125	RMT8	800	710	Eupausiidae	Hansarsia	Hansarsia megalops	M	NA	NA	No	Late_Discovery
2754	20	11	1950	-59.48333333	-164.5333333	N100H	0	0	Eupausiidae	NA	NA	NA	Juvenile	NA	No	Early_Discovery
NA	NA	NA	NA	NA	NA	NA	NA	NA	Eupausiidae	NA	NA	NA	NA	NA	No	NA
2740	14	11	1950	-55.01666667	-151.4666667	N100B	168	0	NA	NA	NA	NA	Juvenile	NA	No	Early_Discovery
6133	25	10	1966	NA	NA	EMT	NA	NA	Eupausiidae	NA	NA	NA	NA	NA	No	NA
6114	15	10	1966	NA	NA	1KMT	500	0	Eupausiidae	NA	NA	NA	NA	NA	No	NA
6139	27	10	1966	NA	NA	1KMT	NA	NA	Eupausiidae	NA	NA	NA	NA	NA	No	NA
669513	15	3	1968	NA	NA	TMT85	900	800	Eupausiidae	NA	NA	NA	NA	NA	No	Late_Discovery
740638	9	10	1970	40.235	-20.2733	RMT8	655	545	Eupausiidae	Hansarsia	Hansarsia megalops	M	NA	NA	No	Late_Discovery
2547	22	1	1939	-69.50333333	2.078333333	N100B	140	0	Eupausiidae	Euphasuia	Euphausia superba	NA	NA	NA	No	Early_Discovery
